index,Subspecialty,Question Number,Question Text,Question Images,Alternatives,Correct Alternative,Explanation,Reference,Question Link
36,Cytopathology,6,The practices and terminologies used to perform rapid on site evaluation (ROSE) are   Delineated by CLIA '88 and the College of American Pathologists Regulated and informed by standards established by the American Society of Cytopathology Universal and standardized Vary widely between institutions,[],"[""A) Delineated by CLIA '88 and the College of American Pathologists"", 'B) Regulated and informed by standards established by the American Society of Cytopathology', 'C) Universal and standardized', 'D) Vary widely between institutions']",D,"Vary widely between institutions. The practice, terminologies and equipment to perform ROSE vary widely between institutions and may even vary within institutions depending on the specific needs of clinical practices. Variation is influenced by organ site, clinical capabilities, local convention and individual judgement of the ROSE provider.",https://www.pathologyoutlines.com/topic/cytopathologyrose.html,https://www.pathologyoutlines.com/review-questions?sid=4
37,Cytopathology,7,"Which of the following, when present in an EBUS FNA from a lung mass, is considered adequate?   Aspergillus hyphae Goblet cells and alveolar macrophages Mucin Tufts of columnar epithelium with terminal bar and cilia Type 2 pneumocytes without atypia",[],"['A) Aspergillus hyphae', 'B) Goblet cells and alveolar macrophages', 'C) Mucin', 'D) Tufts of columnar epithelium with terminal bar and cilia', 'E) Type 2 pneumocytes without atypia']",A,"<i>Aspergillus</i> hyphae. Aspergilloma is one of the causes of cavitary mass-like lesion in the lung. The presence of <i>Aspergillus</i> organisms explains the mass in the lung and is considered adequate for evaluation.   Answer B is incorrect because goblet cells and alveolar macrophages are part of the normal respiratory epithelial lining of the airways. Finding these in an EBUS FNA sample would likely indicate contamination with normal respiratory tract cells. These cells are not indicative of the characteristics of a lung mass and their presence would not help in evaluating the mass itself.  Answer C is incorrect because the presence of mucin in an EBUS FNA sample is generally not sufficient for evaluating a lung mass. Mucin can be present in various lung conditions but its presence alone does not provide specific information about the nature of the mass, whether it's benign or malignant or what type of mass it is.  Answer D is incorrect because in an EBUS FNA procedure, the goal is to obtain a sample that can be used to evaluate the nature and characteristics of a lung mass. The presence of respiratory epithelium, such as tufts of columnar epithelium with a terminal bar and cilia, is valuable because it indicates that the sample is from the lining of the airways. However, it does not explain the presence of a mass-like lesion.  Answer E is incorrect because type 2 pneumocytes are a type of lung cell responsible for producing surfactant and are not typically associated with the evaluation of lung masses. Finding these cells without atypia would suggest the presence of normal lung tissue but it doesn't provide information about the characteristics or pathology of the mass itself.",https://www.pathologyoutlines.com/topic/cytopathologylungnondiagnostic.html,https://www.pathologyoutlines.com/review-questions?sid=4
38,Cytopathology,8,Presence of which of the following cells in a percutaneous transthoracic FNA from a well circumscribed lung mass is a reason to consider the sample adequate?   Alveolar macrophages Degenerated epithelial cells Neutrophils Red blood cells Superficial squamous cells,[],"['A) Alveolar macrophages', 'B) Degenerated epithelial cells', 'C) Neutrophils', 'D) Red blood cells', 'E) Superficial squamous cells']",C,"Neutrophils. Presence of increased number of neutrophils in a mass lesion may indicate an abscess. Neutrophils can be present in various lung conditions, and more clinical information is essential to make a definitive diagnosis.  Answer A is incorrect because alveolar macrophages are normal components of lung tissue and are not indicative of the nature of the lung mass. Their presence doesn't provide specific information about the mass. Answer B is incorrect because in a percutaneous transthoracic FNA, the goal is to obtain a sample that can help diagnose and characterize the nature of a lung mass. While the presence of degenerated epithelial cells may indicate that the sample may be from a lung mass, a definitive diagnosis cannot be made just by the presence of degenerated epithelial cells. Answer D is incorrect because the presence of red blood cells may suggest bleeding within the mass but doesn't, on its own, provide adequate information for characterizing the nature of the lung mass. Answer E is incorrect because superficial squamous cells are typically part of the normal respiratory tract lining and may indicate contamination with normal cells rather than providing information about the nature of the mass.",https://www.pathologyoutlines.com/topic/cytopathologylungnondiagnostic.html,https://www.pathologyoutlines.com/review-questions?sid=4
39,Cytopathology,9, What is the most likely interpretation of this bronchioalveolar lavage (see image above) from a 51 year old HIV positive AIDS patient?   Atypical Negative (for malignancy) Nondiagnostic Positive for malignancy Suspicious for malignancy,['https://www.pathologyoutlines.com/imgau/cytopathologylungnondiagnostickhan10.jpg'],"['A) Atypical', 'B) Negative (for malignancy)', 'C) Nondiagnostic', 'D) Positive for malignancy', 'E) Suspicious for malignancy']",C,"Nondiagnostic. It is a nondiagnostic specimen due to the lack of alveolar macrophages. Other cells and material in this specimen, such as a few chronic inflammatory and mucin, may represent contamination.  Answer A is incorrect because this option is not likely as the specimen does not show the presence of atypical cells, which would typically be associated with malignancy. Answer B is incorrect because while the specimen may not contain clear evidence of malignancy, it cannot be confidently classified as negative for malignancy due to the lack of alveolar macrophages and the nondiagnostic nature of the sample. Answer D is incorrect because there is insufficient evidence in the specimen to conclude that it is positive for malignancy. The absence of alveolar macrophages and a clear lack of cancerous cells makes this an unlikely interpretation. Answer E is incorrect because similar to the other options, this interpretation is not supported due to the lack of alveolar macrophages and the nondiagnostic nature of the specimen. In summary, the provided picture of bronchioalveolar lavage (BAL) suggests that the sample is nondiagnostic due to the absence of alveolar macrophages and any atypical cell. Further testing or sampling may be needed to establish a definitive diagnosis.",https://www.pathologyoutlines.com/topic/cytopathologylungnondiagnostic.html,https://www.pathologyoutlines.com/review-questions?sid=4
40,Cytopathology,10," A 65 year old woman with an extensive smoking history is found to have a 4.2 cm right lower lobe lung mass. Fine needle aspiration of the mass is shown above. What set of genes should always be interrogated for mutations or rearrangements in this type of tumor in order to guide treatment?   EGFR, ALK, ROS1, BRAF EGFR, MET, ALK, ASCL1 ERBB2 (HER2), KRAS, NEUROD1, BRAF MET, RET, ERBB2 (HER2), YAP1",['https://www.pathologyoutlines.com/imgau/cytopathologylungmalignantelnaili01.jpg'],"['A) EGFR, ALK, ROS1, BRAF', 'B) EGFR, MET, ALK, ASCL1', 'C) ERBB2 (HER2), KRAS, NEUROD1, BRAF', 'D) MET, RET, ERBB2 (HER2), YAP1']",A,"<i>EGFR</i>, <i>ALK</i>, <i>ROS1</i>, <i>BRAF</i>. The cytology specimen demonstrates adenocarcinoma and all adenocarcinomas should be tested for mutations or rearrangements in <i>EGFR</i>, <i>ALK</i>, <i>ROS1</i> and <i>BRAF</i> to predict response to treatment with tyrosine kinase and BRAF inhibitors (although it may be reasonable to perform sequential testing on <i>EGFR</i> and <i>ALK</i>, followed by <i>ROS1</i> testing). Additionally, IHC for PDL1 is standard of care in NSCLC to evaluate potential treatment with immune checkpoint inhibitors. Answers B - D are incorrect because it is appropriate to include <i>MET</i>, <i>RET</i>, <i>ERBB2</i> (<i>HER2</i>) and <i>KRAS</i> as part of larger panels performed initially or when routine testing is negative but they are not currently required. <i>ASCL1</i>, <i>NEUROD1</i>, <i>POU2F3</i> and <i>YAP1</i> are genes involved in SCLC subtyping (<a href=""29396253"" class=""bl"">J Thorac Oncol 2018;13:323</a>, <a href=""37168877"" class=""bl"">Drugs Context 2023;12:2022</a>, <a href=""33011388"" class=""bl"">J Thorac Oncol 2020;15:1823</a>).",https://www.pathologyoutlines.com/topic/cytopathologylungmalignant.html,https://www.pathologyoutlines.com/review-questions?sid=4
41,Dermatopathology,1, What is this structure and what does it make?   Apocrine gland produces odorless secretion Eccrine gland produces merocrine secretion Hair follicle produces hair shafts Sebaceous gland produces sebum,['https://www.pathologyoutlines.com/imgau/skinnontumorgeneraltirado19.jpg'],"['A) Apocrine gland produces odorless secretion', 'B) Eccrine gland produces merocrine secretion', 'C) Hair follicle produces hair shafts', 'D) Sebaceous gland produces sebum']",A,Apocrine gland produces odorless secretion,https://www.pathologyoutlines.com/topic/skinnontumorgeneral.html,https://www.pathologyoutlines.com/review-questions?sid=5
42,Dermatopathology,2, Which skin cell type is CK20+?   Keratinocyte Langerhans cell Melanocyte Merkel cell,['https://www.pathologyoutlines.com/imgau/skinnontumorgeneraltirado21.jpg'],"['A) Keratinocyte', 'B) Langerhans cell', 'C) Melanocyte', 'D) Merkel cell']",D,Merkel cell,https://www.pathologyoutlines.com/topic/skinnontumorgeneral.html,https://www.pathologyoutlines.com/review-questions?sid=5
43,Dermatopathology,3, Which immunostain is expected to be expressed by this cell?   CD1a CK5/6 CK20 MelanA,['https://www.pathologyoutlines.com/imgau/skinnontumorgeneraltirado02.jpg'],"['A) CD1a', 'B) CK5/6', 'C) CK20', 'D) MelanA']",D,MelanA,https://www.pathologyoutlines.com/topic/skinnontumorgeneral.html,https://www.pathologyoutlines.com/review-questions?sid=5
44,Dermatopathology,4," What are the expected histopathological features of this condition?   Regular psoriasiform acanthosis with subcorneal neutrophilic collections, PAS stain negative Regular psoriasiform acanthosis with subcorneal neutrophilic collections, PAS stain positive Irregular psoriasiform acanthosis with spongiosis Perifollicular pustules Intraepidermal bullae filled with neutrophils",['https://www.pathologyoutlines.com/imgau/skinnontumorpsoriasis_Kazlouskayabrq1.jpg'],"['A) Regular psoriasiform acanthosis with subcorneal neutrophilic collections, PAS stain negative', 'B) Regular psoriasiform acanthosis with subcorneal neutrophilic collections, PAS stain positive', 'C) Irregular psoriasiform acanthosis with spongiosis', 'D) Perifollicular pustules', 'E) Intraepidermal bullae filled with neutrophils']",A,". The image demonstrates pustular psoriasis. Histopathological features of pustular psoriasis include regular psoriasiform acanthosis with subcorneal neutrophilic collections. PAS stain is negative. Positive PAS staining is seen in fungal infections (answer B). Spongiosis, although may be focally seen in psoriasis, is more typical for eczematous conditions (answer C). Pustules in pustular psoriasis are not perifollicular (answer D). Intraepidermal bullae are not seen in psoriasis (answer E).",https://www.pathologyoutlines.com/topic/skinnontumorpsoriasis.html,https://www.pathologyoutlines.com/review-questions?sid=5
45,Dermatopathology,5,"A patient was treated for onychomycosis with a systemic medication and developed a rash. Biopsy of the rash demonstrated regular psoriasiform acanthosis, parakeratosis with neutrophils in the stratum corneum, thinning of parapapillary plated with dilated vessels in the superficial dermis. What was the most likely medication causing this condition?   Griseofulvin Voriconazole Terbinafine Itraconazole Fluconazole",[],"['A) Griseofulvin', 'B) Voriconazole', 'C) Terbinafine', 'D) Itraconazole', 'E) Fluconazole']",C,". The vignette describes psoriasis that started after administration of an oral antifungal agent. Terbinafine is known to exacerbate psoriasis. This side effect is not typical for griseofulvin (answer A) and azoles (voriconazole, itraconazole or fluconazole - answers B, D and E).",https://www.pathologyoutlines.com/topic/skinnontumorpsoriasis.html,https://www.pathologyoutlines.com/review-questions?sid=5
46,Dermatopathology,6,What histopathological feature is helpful in differentiating psoriasis versus inflammatory linear verrucous epidermal nevus?   Presence of spongiosis Presence of lichenoid infiltrate Presence of eosinophils in the inflammatory infiltrate Erythrocyte extravasates Alternating orthokeratosis with parakeratosis,[],"['A) Presence of spongiosis', 'B) Presence of lichenoid infiltrate', 'C) Presence of eosinophils in the inflammatory infiltrate', 'D) Erythrocyte extravasates', 'E) Alternating orthokeratosis with parakeratosis']",E,. Alternating orthokeratosis with parakeratosis is the most specific sign that helps to differentiate ILVEN with psoriasis. Focal areas of spongiosis and erythrocyte extravasates may be seen in both conditions but these features are not specific. Eosinophils and lichenoid infiltrate are not typical for ILVEN and psoriasis.,https://www.pathologyoutlines.com/topic/skinnontumorpsoriasis.html,https://www.pathologyoutlines.com/review-questions?sid=5
47,Dermatopathology,7, A 35 year old man presents with a 10 year history of scaly papules on the face and chest. Biopsy reveals the findings shown in the image above. What is the most likely diagnosis?   Darier disease Hailey-Hailey disease Herpes simplex virus infection Pemphigus vulgaris Seborrheic dermatitis,['https://www.pathologyoutlines.com/imgau/skinnontumordariersdiseasebrq1Ho1.jpg'],"['A) Darier disease', 'B) Hailey-Hailey disease', 'C) Herpes simplex virus infection', 'D) Pemphigus vulgaris', 'E) Seborrheic dermatitis']",A,"Darier disease. The photomicrograph shows acantholysis with dyskeratosis (corp ronds and grains) as well as the formation of villi classically seen in Darier disease. While Hailey-Hailey disease may have acantholysis with dyskeratosis, prominent corp ronds and grains are lacking. Pemphigus has bland acantholysis and herpes simplex shows distinct viral cytopathic change. Seborrheic dermatitis is a spongiotic dermatitis.",https://www.pathologyoutlines.com/topic/skinnontumordariersdisease.html,https://www.pathologyoutlines.com/review-questions?sid=5
48,Dermatopathology,8,Which of the following diseases may demonstrate histopathologic features identical to Darier disease?   Grover disease Hailey-Hailey disease Inflammatory and linear verrucous epidermal nevus Pemphigus foliaceus Pemphigus vulgaris,[],"['A) Grover disease', 'B) Hailey-Hailey disease', 'C) Inflammatory and linear verrucous epidermal nevus', 'D) Pemphigus foliaceus', 'E) Pemphigus vulgaris']",A,Grover disease. Grover disease has multiple histopathologic patterns including those with Darier type histology. All other options lack typical corp rond and grain formation.,https://www.pathologyoutlines.com/topic/skinnontumordariersdisease.html,https://www.pathologyoutlines.com/review-questions?sid=5
49,Dermatopathology,9,Where is the abnormal protein located in Darier disease?   Cytoplasm Endoplasmic reticulum Golgi apparatus Mitochondria Nucleus,[],"['A) Cytoplasm', 'B) Endoplasmic reticulum', 'C) Golgi apparatus', 'D) Mitochondria', 'E) Nucleus']",B,"Endoplasmic reticulum. An abnormal SERCA2 protein is located in the endoplasmic reticulum and plays a role in the Ca<sup>2+</sup> signaling pathway regulating cell to cell adhesion and differentiation of the epidermis (<a href=""10080178"" class=""bl"">Nat Genet 1999;21:271</a>).",https://www.pathologyoutlines.com/topic/skinnontumordariersdisease.html,https://www.pathologyoutlines.com/review-questions?sid=5
50,Dermatopathology,10,"A biopsy from a patient with crusted scabies is likely to reveal which findings compared with typical scabies?   Few mites Few ova Many ova but few mites Mites present in the upper dermis Numerous mites, ova and scybala",[],"['A) Few mites', 'B) Few ova', 'C) Many ova but few mites', 'D) Mites present in the upper dermis', 'E) Numerous mites, ova and scybala']",E,"Numerous mites, ova and scybala. Crusted scabies occurs in immunosuppressed patients and characteristically contains hyperkeratosis with numerous mites, ova and scybala. Scabies mites reside in the epidermis only.  <!-- <b>A.</b> Bullous pemphigoid. Bullous scabies can mimic the histologic and direct immunofluorescence findings in bullous pemphigoid. -->",https://www.pathologyoutlines.com/topic/skinnontumorscabies.html,https://www.pathologyoutlines.com/review-questions?sid=5
